Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 6930887 6930887 1] 549402
[1 4636916 4636916 1] 363486
[1 4238336 4238336 1] 403849
[1 29760493 29760493 1] 2460938
[1 19641422 19641422 1] 3650056
[1 490028 490028 1] 3088794
[1 22520060 22520060 1] 4334067
[1 17513927 17513927 1] 5264869
[1 10383427 10383427 1] 5581238
[1 13455737 13455737 1] 6069573
[1 11595369 11595369 1] 6468526
[1 16956430 16956430 1] 7268367
[1 21021531 21021531 1] 8295894
[1 23665124 23665124 1] 9796440
[1 18703136 18703136 1] 10823250
[1 1979803 1979803 1] 10380646
[1 5723059 5723059 1] 10314367
[1 15898168 15898168 1] 11215097
[1 19018457 19018457 1] 12328649
[1 6478043 6478043 1] 12255422
[1 3377374 3377374 1] 11941599
[1 24544920 24544920 1] 13488958
[1 6898538 6898538 1] 13461572
[1 23594325 23594325 1] 14862141
[1 28664371 28664371 1] 16964807
[1 4803527 4803527 1] 16881139
[1 14268981 14268981 1] 17605498
[1 29241874 29241874 1] 19759163
[1 12999171 12999171 1] 20357585
[1 15497282 15497282 1] 21193334
[1 14420926 14420926 1] 22104468
[1 27336328 27336328 1] 24410887
[1 19126506 19126506 1] 25686871
[1 12621730 12621730 1] 26314092
[1 23925858 23925858 1] 27882251
[1 24353896 24353896 1] 29510589
[1 21100546 21100546 1] 30738309
[1 18233368 18233368 1] 31839391
[1 25990365 25990365 1] 33729321
[1 10313751 10313751 1] 34095449
[1 26426809 26426809 1] 35764752
[1 29947179 29947179 1] 38235467
[1 19393585 19393585 1] 39472316
[1 28502652 28502652 1] 41535156
[1 4612400 4612400 1] 41421094
[1 4095061 4095061 1] 41239460
[1 13993369 13993369 1] 42122013
[1 4210013 4210013 1] 41930001
[1 9698587 9698587 1] 42260523
[1 6297540 6297540 1] 42237730
[1 13480571 13480571 1] 42836027
[1 25960379 25960379 1] 44592705
[1 2066602 2066602 1] 44176633
[1 27612903 27612903 1] 46307552
[1 3570493 3570493 1] 46046546
[1 260757 260757 1] 45470530
[1 5560281 5560281 1] 45370744
[1 23209442 23209442 1] 47195696
[1 24429690 24429690 1] 49364906
[1 27346620 27346620 1] 51767466
[1 744730 744730 1] 51250290
[1 13108118 13108118 1] 52156875
[1 27905772 27905772 1] 54640337
[1 12890676 12890676 1] 55484551
[1 11698928 11698928 1] 56211789
[1 18777857 18777857 1] 57792559
[1 14872354 14872354 1] 58910562
[1 12276966 12276966 1] 59634253
[1 23964684 23964684 1] 61661155
[1 10028625 10028625 1] 62196674
