Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 6930887 6930887 1] 530708
[1 4636916 4636916 1] 351272
[1 4238336 4238336 1] 318277
[1 29760493 29760493 1] 2376092
[1 19641422 19641422 1] 3245089
[1 490028 490028 1] 2681273
[1 22520060 22520060 1] 3859056
[1 17513927 17513927 1] 4536752
[1 10383427 10383427 1] 4714313
[1 13455737 13455737 1] 5119346
[1 11595369 11595369 1] 5390734
[1 16956430 16956430 1] 6036078
[1 21021531 21021531 1] 6994818
[1 23665124 23665124 1] 8170394
[1 18703136 18703136 1] 8986660
[1 1979803 1979803 1] 8536086
[1 5723059 5723059 1] 8369462
[1 15898168 15898168 1] 8969255
[1 19018457 19018457 1] 9773395
[1 6478043 6478043 1] 9657044
[1 3377374 3377374 1] 9310570
[1 24544920 24544920 1] 10543892
[1 6898538 6898538 1] 10450102
[1 23594325 23594325 1] 11620990
[1 28664371 28664371 1] 13178767
[1 4803527 4803527 1] 12941147
[1 14268981 14268981 1] 13461015
[1 29241874 29241874 1] 15120536
[1 12999171 12999171 1] 15494217
[1 15497282 15497282 1] 16052824
[1 14420926 14420926 1] 16534614
[1 27336328 27336328 1] 18004417
[1 19126506 19126506 1] 18847202
[1 12621730 12621730 1] 19229325
[1 23925858 23925858 1] 20482486
[1 24353896 24353896 1] 21815055
[1 21100546 21100546 1] 22922069
[1 18233368 18233368 1] 23781686
[1 25990365 25990365 1] 25265108
[1 10313751 10313751 1] 25499979
[1 26426809 26426809 1] 26973512
[1 29947179 29947179 1] 28837607
[1 19393585 19393585 1] 29825319
[1 28502652 28502652 1] 31534561
[1 4612400 4612400 1] 31307079
[1 4095061 4095061 1] 31037605
[1 13993369 13993369 1] 31572818
[1 4210013 4210013 1] 31314676
[1 9698587 9698587 1] 31499911
[1 6297540 6297540 1] 31408732
[1 13480571 13480571 1] 31904260
[1 25960379 25960379 1] 33414760
[1 2066602 2066602 1] 32982131
[1 27612903 27612903 1] 34624658
[1 3570493 3570493 1] 34314174
[1 260757 260757 1] 33735026
[1 5560281 5560281 1] 33586346
[1 23209442 23209442 1] 34860689
[1 24429690 24429690 1] 36228893
[1 27346620 27346620 1] 37846466
[1 744730 744730 1] 37306273
[1 13108118 13108118 1] 37763260
[1 27905772 27905772 1] 39418852
[1 12890676 12890676 1] 39859811
[1 11698928 11698928 1] 40201310
[1 18777857 18777857 1] 41143792
[1 14872354 14872354 1] 41745343
[1 12276966 12276966 1] 42137995
[1 23964684 23964684 1] 43474014
[1 10028625 10028625 1] 43687589
