Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 6930887 6930887 1] 523900
[1 4636916 4636916 1] 378374
[1 4238336 4238336 1] 323308
[1 29760493 29760493 1] 2333251
[1 19641422 19641422 1] 3288168
[1 490028 490028 1] 2727711
[1 22520060 22520060 1] 3985622
[1 17513927 17513927 1] 4766375
[1 10383427 10383427 1] 5023642
[1 13455737 13455737 1] 5613216
[1 11595369 11595369 1] 5982574
[1 16956430 16956430 1] 6817444
[1 21021531 21021531 1] 8097103
[1 23665124 23665124 1] 9395806
[1 18703136 18703136 1] 10265334
[1 1979803 1979803 1] 9821541
[1 5723059 5723059 1] 9680512
[1 15898168 15898168 1] 10365827
[1 19018457 19018457 1] 11302421
[1 6478043 6478043 1] 11239448
[1 3377374 3377374 1] 10948455
[1 24544920 24544920 1] 12307880
[1 6898538 6898538 1] 12253183
[1 23594325 23594325 1] 13525370
[1 28664371 28664371 1] 15275254
[1 4803527 4803527 1] 15078777
[1 14268981 14268981 1] 15677653
[1 29241874 29241874 1] 17518959
[1 12999171 12999171 1] 18086709
[1 15497282 15497282 1] 18811075
[1 14420926 14420926 1] 19474701
[1 27336328 27336328 1] 21292747
[1 19126506 19126506 1] 22311292
[1 12621730 12621730 1] 22752238
[1 23925858 23925858 1] 24165279
[1 24353896 24353896 1] 26109643
[1 21100546 21100546 1] 27635121
[1 18233368 18233368 1] 28778196
[1 25990365 25990365 1] 30973901
[1 10313751 10313751 1] 31620804
[1 26426809 26426809 1] 34237148
[1 29947179 29947179 1] 37057247
[1 19393585 19393585 1] 38526553
[1 28502652 28502652 1] 40986056
[1 4612400 4612400 1] 40880804
[1 4095061 4095061 1] 40737783
[1 13993369 13993369 1] 41584402
[1 4210013 4210013 1] 41438115
[1 9698587 9698587 1] 41828276
[1 6297540 6297540 1] 41964925
[1 13480571 13480571 1] 42781302
[1 25960379 25960379 1] 44684047
[1 2066602 2066602 1] 44281901
[1 27612903 27612903 1] 46456471
[1 3570493 3570493 1] 46193350
[1 260757 260757 1] 45617342
[1 5560281 5560281 1] 45565840
[1 24544920 24544920 1] 665
[1 23209442 23209442 1] 47124172
[1 24429690 24429690 1] 49036657
[1 27346620 27346620 1] 51742276
[1 744730 744730 1] 51230024
[1 13108118 13108118 1] 52146750
[1 27905772 27905772 1] 54588420
[1 12890676 12890676 1] 55318057
[1 11698928 11698928 1] 55946597
[1 18777857 18777857 1] 57376266
[1 14872354 14872354 1] 58324770
[1 12276966 12276966 1] 59009561
[1 23964684 23964684 1] 60882444
