Running client with REP_PROB_PERCENT: 0
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: 1
Difficulty: 30000000
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 6930887 6930887 1] 533495
[1 4636916 4636916 1] 350753
[1 4238336 4238336 1] 322209
[1 29760493 29760493 1] 2376034
[1 19641422 19641422 1] 3272739
[1 490028 490028 1] 2709569
[1 22520060 22520060 1] 3801551
[1 17513927 17513927 1] 4534124
[1 10383427 10383427 1] 4715787
[1 13455737 13455737 1] 5129488
[1 11595369 11595369 1] 5408206
[1 16956430 16956430 1] 6104518
[1 21021531 21021531 1] 7102713
[1 23665124 23665124 1] 8306445
[1 18703136 18703136 1] 9129877
[1 1979803 1979803 1] 8680897
[1 5723059 5723059 1] 8556134
[1 15898168 15898168 1] 9203862
[1 19018457 19018457 1] 10126570
[1 6478043 6478043 1] 10035156
[1 3377374 3377374 1] 9691490
[1 24544920 24544920 1] 10984591
[1 6898538 6898538 1] 10914528
[1 23594325 23594325 1] 12233277
[1 28664371 28664371 1] 13980821
[1 4803527 4803527 1] 13752334
[1 14268981 14268981 1] 14273693
[1 29241874 29241874 1] 15988505
[1 12999171 12999171 1] 16417289
[1 15497282 15497282 1] 17078366
[1 14420926 14420926 1] 17639569
[1 27336328 27336328 1] 19303943
[1 19126506 19126506 1] 20436063
[1 12621730 12621730 1] 20968484
[1 23925858 23925858 1] 22501473
[1 24353896 24353896 1] 24055166
[1 21100546 21100546 1] 25318045
[1 18233368 18233368 1] 26322283
[1 25990365 25990365 1] 27997460
[1 10313751 10313751 1] 28298941
[1 26426809 26426809 1] 30008771
[1 29947179 29947179 1] 32046060
[1 19393585 19393585 1] 33132637
[1 28502652 28502652 1] 35029002
[1 4612400 4612400 1] 34829057
[1 4095061 4095061 1] 34585560
[1 13993369 13993369 1] 35201864
[1 4210013 4210013 1] 34966759
[1 9698587 9698587 1] 35212834
[1 6297540 6297540 1] 35163273
[1 13480571 13480571 1] 35747964
[1 25960379 25960379 1] 37421754
[1 2066602 2066602 1] 37005156
[1 27612903 27612903 1] 38835409
[1 3570493 3570493 1] 38546990
[1 260757 260757 1] 37969847
[1 5560281 5560281 1] 37855246
[1 23209442 23209442 1] 39292774
[1 24429690 24429690 1] 40836937
[1 27346620 27346620 1] 42640315
[1 744730 744730 1] 42105064
[1 13108118 13108118 1] 42652653
[1 24544920 24544920 1] 113
[1 27905772 27905772 1] 44527350
[1 12890676 12890676 1] 45070469
[1 11698928 11698928 1] 45504357
[1 18777857 18777857 1] 46544469
[1 14872354 14872354 1] 47248747
[1 12276966 12276966 1] 47719014
[1 23964684 23964684 1] 49213455
