**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 5323113048839211569 5323113048839211569 1] 1181129
[1 6061301652778360708 6061301652778360708 1] 1868915
[1 6551056528233317404 6551056528233317404 1] 2993514
[1 5199371706524493251 5199371706524493251 1] 2769391
[1 3659813617944922327 3659813617944922327 1] 3106515
[1 5323113048839211569 5323113048839211569 1] 3666344
[1 6551056528233317404 6551056528233317404 1] 4709714
[1 4306388032135015083 4306388032135015083 1] 5151883
[1 3582342302972989278 3582342302972989278 2] 5423153
[1 5152867666612939994 5152867666612939994 1] 4941252
[1 8545497753826994372 8545497753826994372 1] 6405291
[1 14219070558469852 14219070558469852 1] 6527468
[1 5152867666612939994 5152867666612939994 2] 6045147
[1 8123840614758380338 8123840614758380338 1] 5634233
[1 6299299371226330111 6299299371226330111 1] 5418324
[1 5199371706524493251 5199371706524493251 2] 5192278
[1 4210581282492980127 4210581282492980127 2] 6190349
[1 2681509236213133930 2681509236213133930 1] 7464126
[1 2417774981122755451 2417774981122755451 1] 8438183
[1 5199371706524493251 5199371706524493251 1] 8213354
[1 2417774981122755451 2417774981122755451 1] 9189052
[1 3371221844736955655 3371221844736955655 1] 9616955
[1 14219070558469852 14219070558469852 1] 9742678
[1 5665786584277501498 5665786584277501498 1] 10688183
[1 4411586658559271441 4411586658559271441 2] 12041230
[1 7751036336550852449 7751036336550852449 2] 12430437
[1 5226070023190972674 5226070023190972674 1] 11836081
[1 443797163739200304 443797163739200304 1] 12638907
[1 2681509236213133930 2681509236213133930 1] 13919537
[1 4711316578468217750 4711316578468217750 1] 13705306
[1 3219269621666571012 3219269621666571012 1] 14436561
[1 4439128167132747160 4439128167132747160 1] 14468803
[1 419959660935379333 419959660935379333 1] 14387114
[1 5323113048839211569 5323113048839211569 1] 14940782
[1 6508099035400486672 6508099035400486672 3] 15936029
[1 3661979449103474211 3661979449103474211 1] 16064451
[1 5199371706524493251 5199371706524493251 1] 15845964
[1 428285387533163711 428285387533163711 1] 15352152
[1 7479665055322049871 7479665055322049871 1] 16030926
[1 4587930096661733970 4587930096661733970 1] 16435892
[1 676565140536873255 676565140536873255 1] 16617575
[1 7465279672643454733 7465279672643454733 1] 16582319
[1 5358995021737652853 5358995021737652853 2] 17597515
[1 7758562614941667095 7758562614941667095 1] 18305453
[1 4096930159418457413 4096930159418457413 2] 17984384
[1 6676147598389536847 6676147598389536847 1] 18044934
[1 7542673075594086020 7542673075594086020 1] 17921932
[1 8447424885188984022 8447424885188984022 1] 17861636
[1 3380263676397564338 3380263676397564338 2] 17454126
[1 14219070558469852 14219070558469852 1] 17590392
[1 8765615669523681939 8765615669523681939 1] 17624843
[1 419959660935379333 419959660935379333 1] 17548434
[1 5054306381671161295 5054306381671161295 2] 18364207
[1 4418986465783198893 4418986465783198893 1] 18655065
[1 3168228909583649578 3168228909583649578 1] 19674285
[1 4711016277695541463 4711016277695541463 1] 20094536
[1 3300549992339425025 3300549992339425025 1] 20450552
