#input
#!/bin/sh
#
# This is the configuration of the final run.
# The seed value will be a non-zero value that will not be disclosed.
##
#
#
#SERVER=localhost
#PORT=9000
#SEED=5041
#TOTAL=500
#START=0
#DIFFICULTY=30000000
#REP_PROB_PERCENT=20
#DELAY_US=600000
#PRIO_LAMBDA=1.5
#
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#./client $SERVER $PORT $SEED $TOTAL $START $DIFFICULTY $REP_PROB_PERCENT $DELAY_US $PRIO_LAMBDA >> client.log
#


**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 5323113048839211569 5323113048839211569 1] 1280799
[1 6061301652778360708 6061301652778360708 1] 2112673
[1 6551056528233317404 6551056528233317404 1] 3320188
[1 5199371706524493251 5199371706524493251 1] 3158619
[1 3659813617944922327 3659813617944922327 1] 3828031
[1 5323113048839211569 5323113048839211569 1] 4862381
[1 6551056528233317404 6551056528233317404 1] 6133083
[1 4306388032135015083 4306388032135015083 1] 6694029
[1 3582342302972989278 3582342302972989278 2] 7071595
[1 5152867666612939994 5152867666612939994 1] 6603934
[1 8545497753826994372 8545497753826994372 1] 8377258
[1 14219070558469852 14219070558469852 1] 8622418
[1 5152867666612939994 5152867666612939994 2] 8156583
[1 8123840614758380338 8123840614758380338 1] 7767715
[1 6299299371226330111 6299299371226330111 1] 7588460
[1 5199371706524493251 5199371706524493251 2] 7407571
[1 4210581282492980127 4210581282492980127 2] 8597952
[1 2681509236213133930 2681509236213133930 1] 10097870
[1 2417774981122755451 2417774981122755451 1] 11304267
[1 5199371706524493251 5199371706524493251 1] 11121234
[1 2417774981122755451 2417774981122755451 1] 12279490
[1 3371221844736955655 3371221844736955655 1] 12822237
[1 14219070558469852 14219070558469852 1] 13026247
[1 5665786584277501498 5665786584277501498 1] 14099091
[1 4411586658559271441 4411586658559271441 2] 15669795
[1 7751036336550852449 7751036336550852449 2] 16165937
[1 5226070023190972674 5226070023190972674 1] 15571700
[1 443797163739200304 443797163739200304 1] 16524873
[1 2681509236213133930 2681509236213133930 1] 18007195
[1 4711316578468217750 4711316578468217750 1] 17833042
[1 3219269621666571012 3219269621666571012 1] 18702494
[1 4439128167132747160 4439128167132747160 1] 18798286
[1 419959660935379333 419959660935379333 1] 18770124
[1 5323113048839211569 5323113048839211569 1] 19441896
[1 6508099035400486672 6508099035400486672 3] 20585903
[1 3661979449103474211 3661979449103474211 1] 20771382
[1 5199371706524493251 5199371706524493251 1] 20587046
