Running client with DIFFICULTY: 10
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 7 7 1] 147
[1 6 6 1] 152
[1 6 6 1] 271
[1 3 3 1] 143
[1 2 2 1] 177
[1 8 8 1] 312
[1 10 10 1] 176
[1 7 7 1] 168
[1 7 7 1] 193
[1 7 7 1] 185
[1 9 9 1] 161
[1 10 10 1] 595
[1 1 1 1] 149
[1 4 4 1] 772
[1 6 6 1] 216
[1 3 3 1] 514
[1 9 9 1] 173
[1 8 8 1] 315
[1 7 7 1] 209
[1 3 3 1] 157
[1 4 4 1] 154
[1 10 10 1] 505
[1 8 8 1] 189
[1 5 5 1] 176
[1 1 1 1] 238
[1 7 7 1] 200
[1 1 1 1] 192
[1 4 4 1] 222
[1 1 1 1] 168
[1 2 2 1] 152
[1 6 6 1] 193
[1 8 8 1] 203
[1 6 6 1] 13938
[1 10 10 1] 216
[1 8 8 1] 172
[1 6 6 1] 209
[1 6 6 1] 202
[1 8 8 1] 211
[1 5 5 1] 252
[1 1 1 1] 329
[1 9 9 1] 428
[1 9 9 1] 552
[1 5 5 1] 198
[1 2 2 1] 184
[1 10 10 1] 178
[1 1 1 1] 202
[1 9 9 1] 1532
[1 3 3 1] 189
[1 7 7 1] 194
[1 10 10 1] 231
[1 1 1 1] 185
[1 9 9 1] 166
[1 2 2 1] 171
[1 3 3 1] 167
[1 3 3 1] 612
[1 7 7 1] 133
[1 1 1 1] 205
[1 2 2 1] 655
[1 10 10 1] 165
[1 10 10 1] 209
[1 10 10 1] 193
[1 8 8 1] 189
[1 2 2 1] 158
[1 6 6 1] 168
[1 8 8 1] 190
[1 7 7 1] 175
[1 4 4 1] 179
[1 6 6 1] 160
[1 4 4 1] 178
[1 5 5 1] 175
[1 2 2 1] 155
[1 10 10 1] 195
[1 10 10 1] 172
[1 9 9 1] 163
[1 6 6 1] 142
[1 10 10 1] 177
[1 4 4 1] 224
[1 6 6 1] 859
[1 2 2 1] 164
[1 6 6 1] 201
[1 9 9 1] 234
[1 9 9 1] 173
[1 1 1 1] 174
[1 1 1 1] 357
[1 5 5 1] 167
[1 5 5 1] 163
[1 7 7 1] 169
[1 2 2 1] 196
[1 6 6 1] 197
[1 7 7 1] 180
[1 2 2 1] 206
[1 9 9 1] 322
[1 8 8 1] 156
[1 2 2 1] 197
[1 6 6 1] 161
[1 8 8 1] 168
[1 4 4 1] 165
[1 9 9 1] 173
[1 2 2 1] 213
[1 10 10 1] 1652
[1 5 5 1] 1260
[1 4 4 1] 1173
[1 9 9 1] 238
[1 1 1 1] 563
[1 9 9 1] 257
