Running client with DIFFICULTY: 10
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 200
Start: 1
Difficulty: 10
Repetition probability (%): 0
Request delay (us): 600000
Priority disabled

[1 7 7 1] 204
[1 6 6 1] 173
[1 6 6 1] 226
[1 3 3 1] 1245
[1 2 2 1] 218
[1 8 8 1] 215
[1 10 10 1] 177
[1 7 7 1] 205
[1 7 7 1] 1493
[1 7 7 1] 678
[1 9 9 1] 1005
[1 10 10 1] 214
[1 1 1 1] 1447
[1 4 4 1] 249
[1 6 6 1] 263
[1 3 3 1] 173
[1 9 9 1] 157
[1 8 8 1] 197
[1 7 7 1] 178
[1 3 3 1] 181
[1 4 4 1] 184
[1 10 10 1] 209
[1 8 8 1] 169
[1 5 5 1] 268
[1 1 1 1] 439
[1 7 7 1] 179
[1 1 1 1] 364
[1 4 4 1] 171
[1 1 1 1] 183
[1 2 2 1] 175
[1 6 6 1] 187
[1 8 8 1] 906
[1 6 6 1] 198
[1 10 10 1] 175
[1 8 8 1] 247
[1 6 6 1] 890
[1 6 6 1] 190
[1 8 8 1] 204
[1 5 5 1] 1370
[1 1 1 1] 174
[1 9 9 1] 1194
[1 9 9 1] 177
[1 5 5 1] 2222
[1 2 2 1] 938
[1 10 10 1] 144
[1 1 1 1] 173
[1 9 9 1] 275
[1 3 3 1] 224
[1 7 7 1] 181
[1 10 10 1] 230
[1 1 1 1] 169
[1 9 9 1] 183
[1 2 2 1] 263
[1 3 3 1] 171
[1 3 3 1] 350
[1 7 7 1] 478
[1 1 1 1] 170
[1 2 2 1] 208
[1 10 10 1] 167
[1 10 10 1] 1886
[1 10 10 1] 228
[1 8 8 1] 188
[1 2 2 1] 227
[1 6 6 1] 198
[1 8 8 1] 207
[1 7 7 1] 235
[1 4 4 1] 259
[1 6 6 1] 234
[1 4 4 1] 256
[1 5 5 1] 175
[1 2 2 1] 700
[1 10 10 1] 218
[1 10 10 1] 209
[1 9 9 1] 244
[1 6 6 1] 177
[1 10 10 1] 209
[1 4 4 1] 218
[1 6 6 1] 171
[1 2 2 1] 179
[1 6 6 1] 162
[1 9 9 1] 186
[1 9 9 1] 1043
[1 1 1 1] 878
[1 1 1 1] 173
[1 5 5 1] 222
[1 5 5 1] 231
[1 7 7 1] 174
[1 2 2 1] 242
[1 6 6 1] 705
[1 7 7 1] 1097
[1 2 2 1] 162
[1 9 9 1] 194
[1 8 8 1] 169
[1 2 2 1] 171
[1 6 6 1] 996
[1 8 8 1] 750
[1 4 4 1] 203
[1 9 9 1] 201
[1 2 2 1] 227
[1 10 10 1] 190
[1 5 5 1] 170
[1 4 4 1] 226
[1 9 9 1] 228
[1 1 1 1] 173
